kind,resid_rms,resid_offset,g_T,b_T,d_alpha_T_read,delta_T,g_H,b_H,d_alpha_H_read,delta_H,g_P,b_P,d_alpha_P_read,delta_P
channel_only_H,1.9311761489808243e-07,1.1662461637823732e-06,1.0,0.0,-3.110853486400944e-09,-4.501852019981575e-12,1.3032026241429062,-0.6452332270136241,3.9801507916614445e-09,-3.532545359217615e-10,1.0,0.0,2.440567426214915e-09,4.597242801109867e-11
channel_only_P,1.930361190860395e-07,1.1639193676940002e-06,1.0,0.0,-3.0986533378791187e-09,7.698296501843843e-12,1.0,0.0,4.33326592432385e-09,-1.3940325935608022e-13,1.0,1.0,2.3945935595769594e-09,-1.438626856819391e-15
channel_only_P,1.9304601343814324e-07,1.1659244563926886e-06,1.0,0.0,-3.106020726223015e-09,3.3090815794762523e-13,1.0,0.0,4.332987028969609e-09,-4.1829861359665565e-13,0.9525721136793044,0.03271033745252472,2.4919464419783957e-09,9.735144377457949e-11
channel_only_P,1.9304037066433276e-07,1.1677953182348562e-06,1.0,0.0,-3.114055077402372e-09,-7.703443021409438e-12,1.0,0.0,4.3335447250120075e-09,1.3939742880147907e-13,1.0,-1.0,2.3945964012522188e-09,1.4030484025402766e-15
channel_only_P,1.9303203433188998e-07,1.165796292080791e-06,1.0,0.0,-3.106653233839659e-09,-3.0159945869650433e-13,1.0,0.0,4.333785787671944e-09,3.804600887378005e-13,1.0474278863206956,-0.03271033745252461,2.3060592980167385e-09,-8.853570018707771e-11
edge_T,1.9306756955781952e-07,1.1701643755504118e-06,0.980511778926126,0.8541930258711778,-2.8279153255822376e-09,2.784363087987249e-10,1.0,0.0,4.5314839685967165e-09,1.9807864101351043e-10,1.0,0.0,2.426751964486846e-09,3.215696628302997e-11
edge_T,1.9312620270627761e-07,1.1689427828864578e-06,0.961023557852252,0.7083860517423561,-3.0067481200110512e-09,9.960351436991129e-11,1.0,0.0,4.47263825783248e-09,1.3923293024927395e-10,1.0,0.0,2.4220812615857137e-09,2.7486263381897496e-11
edge_T,1.9319154888205596e-07,1.1676431296574146e-06,0.941535336778378,0.5625790776135341,-3.198342817721909e-09,-9.199118334094661e-11,1.0,0.0,4.409178081762908e-09,7.577275417970195e-11,1.0,0.0,2.417190503999601e-09,2.25955057957846e-11
edge_T,1.932645749312832e-07,1.1662578711807769e-06,0.9220471157045039,0.41677210348471205,-3.4039922540302455e-09,-2.9764061964928296e-10,1.0,0.0,4.3406504489815744e-09,7.245121398368395e-12,1.0,0.0,2.4120689691731566e-09,1.7473970969340334e-11
edge_T,1.933464146891995e-07,1.164778504579726e-06,0.90255889463063,0.27096512935589023,-3.6251566763096623e-09,-5.188050419286998e-10,1.0,0.0,4.266547183856527e-09,-6.685814372667893e-11,1.0,0.0,2.406705734975774e-09,1.2110736771957708e-11
edge_T,1.9337092174261297e-07,1.16260336908751e-06,0.90255889463063,-0.062368203977443165,-3.819159657472829e-09,-7.128080230918663e-10,1.0,0.0,4.160744665207162e-09,-1.726606623760442e-10,1.0,0.0,2.392447700302005e-09,-2.1472979018113005e-12
edge_T,1.9330601200066194e-07,1.1620300513376454e-06,0.9220471157045039,-0.24989456318195452,-3.775748101468927e-09,-6.693964670879648e-10,1.0,0.0,4.1357020864835685e-09,-1.9770324109963758e-10,1.0,0.0,2.384357372481284e-09,-1.0237625722532159e-11
edge_T,1.9324356807192295e-07,1.1614744667248098e-06,0.941535336778378,-0.4374209223864659,-3.733120133826693e-09,-6.267684994457305e-10,1.0,0.0,4.111172057197198e-09,-2.2223327038600782e-10,1.0,0.0,2.3767829491863105e-09,-1.7812049017505676e-11
edge_T,1.9318348759349673e-07,1.160935700346873e-06,0.961023557852252,-0.6249472815909772,-3.6911674626337563e-09,-5.848158282527938e-10,1.0,0.0,4.087154628788597e-09,-2.462506987946091e-10,1.0,0.0,2.369690832334465e-09,-2.490416586935114e-11
edge_T,1.9312567165851446e-07,1.1604129113170263e-06,0.980511778926126,-0.8124736407954883,-3.649803863489967e-09,-5.434522291090045e-10,1.0,0.0,4.0636474089579435e-09,-2.697579186252626e-10,1.0,0.0,2.363049684639445e-09,-3.1545313564371256e-11
